PhaseID,C14Age,C14SD,LabID
JEII,8810,100,BM-1772
Nhe,8810,120,OxA-1016
WJ7II,8810,110,OxA-526
G1,8812,61,Hd-17219-17541
Gri,8820,150,GrN-15252
PSII,8825,100,Lyon-5
GD-E,8830,50,B-108247
JC,8830,200,W-651
GD,8840,50,B-108244
GD-E,8840,50,B-108249
AK-AK,8850,210,S-1174
BE,8850,150,K-1410
KhE,8850,650,Ly-4785
Nhe,8850,90,Pta-3625
HAII,8860,410,UBAR-384
AsIb,8865,60,GrN-6679
CAIc,8865,45,GrN-8820
GD-E,8870,50,B-108246
Y,8870,90,Pta-4242
AsIb,8875,55,GrN-6678
G1,8880,117,DRI-3252
GD,8888,98,P-1486
AK-MJ,8890,200,SI-160R
Mo,8890,45,RTT-4579
Y,8890,120,RT-736b
BE,8892,115,P-1382
Asb,8900,100,UCLA-1714B
GD-E,8900,50,B-108248
NDv,8900,180,SMU-3
KG,8905,320,-
CAIc,8910,50,GrN-13948
GD,8910,170,Gak-994
MuIVb,8910,150,Mc-737
N,8910,220,Gd-4463
AK-MJ,8920,100,SI-160
CAIc,8920,130,GrN-14862
CHII,8920,160,Ly-3090
GD,8920,50,B-108243
AGM,8930,80,GrN-12967
AGM,8930,60,GrN-12961
GD,8930,60,B-108239
PSII,8930,75,Lyon-574
TAH,8935,245,GX-6357
BE,8940,160,K-1086
GD,8940,50,B-108242
GD,8940,50,B-108245
TAH,8945,275,GX-6356
AGC,8950,390,AA-1166
CHIII,8950,80,Ly-4437
GD,8950,70,SI-4741
HG,8950,100,RT-1396
JEII,8956,103,P-382
Gri,8960,230,GrN-15254
GT,8960,85,Ua-19562
Mo,8965,45,RTT-4577
GD,8968,100,P-1484
AGM,8970,110,GrN-12968
AGM,8970,80,GrN-12963
AGM,8970,80,GrN-12964
CAIb,8980,80,GrN-6244
CHI,8980,150,Ly-3091
CHIII,8990,160,Ly-2182
DJ,8990,100,Ly-6166
Mo,8995,35,RTT 4753
AGM,9000,90,GrN-12959
N,9000,150,Gd-4205
N,9010,170,Gd-2778
G1,9027,116,DRI-3253(a)
AGM,9030,80,GrN-12960
BE,9030,50,GrN-5062
Mo,9030,50,RTT-4882.1
MuIVa,9030,150,Mc-863
N,9030,400,Gd-4364
CAIb,9040,65,GrN-16462
CAIb,9040,35,GrN-14860
JC,9040,250,W-607
Mo,9040,40,RTT-4869.1
AGM,9050,80,GrN-12965
Asb,9050,300,UCLA-1714F
CAIa,9050,140,GrN-10359
Mo,9050,80,TO-11711
AH1,9060,140,OxA-475
DJ,9070,220,Ly-6164
Mo,9080,30,RTT 4865
CAIb,9090,50,GrN-14861
AGM,9100,140,AA-1164
AH1,9100,100,BM-1719
DJ,9100,80,Ly-6165
Mo,9100,30,RTT 4751
WSh,9100,140,Beta-35087/WS-10&12
KMIA,9110,70,AA-33129
PSI,9110,90,Lyon-573
SC5,9120,85,KN-I 336
BE,9128,103,P-1380
Mo,9130,30,RTT 4749
MuIVa,9130,150,Mc-862
N,9130,60,Gd-5240
DJ,9140,390,Ly-5823
JEII,9140,70,GrN-942
N,9140,150,Gd-4365
N,9140,90,Gd-5424
N,9140,90,Gd-5425
Mo,9150,35,RTT 4866
CAIb,9155,35,GrN-14857
DJ,9160,75,Ly-5822
M,9160,500,M-1793
WSh,9160,190,Beta-35089/WS-13&14
CAIb,9170,50,GrN-14859
JEII,9170,200,BM-115
Mo,9170,80,TO-11712
N,9170,130,Gd-2936
N,9170,90,Gd-5186
CAIa,9175,55,GrN-8821
CAIa,9180,80,GrN-10358
DJ,9190,65,Ly-8843
AGM,9200,110,GrN-12966
CAIb,9200,60,GrN-4459
DJ,9200,100,UtC-2367/9
JEI,9200,70,BM-1789
Mo,9200,45,RTT-4867
Mo,9200,40,RTT 4867
CAIb,9205,45,GrN-13949
PSI,9205,75,Lyon-572
Mo,9210,25,RTT 4752
Nhe,9210,300,BM-2299
NC,9212,76,Hd-16783-769
AsIb,9220,70,LY-11384
JEI,9230,220,BM-1326
JEI,9230,80,BM-1321
N,9230,160,Gd-6130
ZAD,9230,59,WK-9633
KMIA,9235,70,AA-33128
GD,9239,196,P-1485
CAIb,9240,90,GrN-13947
NC,9243,55,Hd-16782-351
DJ,9245,65,Ly-8844
CAIa,9250,60,GrN-8079
N,9250,70,Gd-5421
NC,9261,181,Hd-16781-835
AsIb,9270,120,GIF-2371
EAS,9270,120,LY-6996
CAIb,9275,95,GrN-6241
DJ,9280,60,Ly-8841
JEI,9280,100,BM-1787
MuIVb,9280,150,Mc-736
