Region,Site Name,SiteID,Assemblage,LabID,C14Age,C14SD,Delta 13,Material,MaterialID,Source,NZTM N,NZTM E,Longitude,Latitude
Northern,"Haratua's Pa, Pouerua",P05/228,Area ISample from first occupation,NZ6967,363,37,-25.3,Charcoal,Elaeocarpus dentatus and/or Elaeocarpus hookerianus,NZRD,6085890,1686799,173.9554702,-35.36652997
Northern,Field School Pa,P05/371,"Area VIITerrace 5, Feature 1",NZ7339,735,60,-25.6,Charcoal,"Vitex lucens - 1pc, fern [probably Pteridium aquilinium var. esculentum] - 10-20pc",NZRD,6084581,1683304,173.9171357,-35.3786296
Northern,Field School Pa,P05/371,"Area VIITerrace 5, Feature 1",NZ7311,250,50,-26.6,Charcoal,"Beilschmiedia taraire - 2pc; Myrsine sp. [probably australis] - 1pc; Pseudopanax crasifolius - 5pc; Schefflera digitata - 2pc, Hebe sp. - 3pc; gynomsperm twig - 1pc, Dysoxylum spectabile - 6pc",NZRD,6084581,1683304,173.9171357,-35.3786296
Northern,Kaikohe,P05/402,Area IISample from the base of stone retaining wall,NZ7254,250,50,-25.83,Charcoal,"Leptospermum scoparium/ Kunzea ericoides - 90%, Cyathea dealbata, Carpodetus serratus, ? gymnosperm",NZRD,6083787,1685405,173.940347,-35.38561025
Northern,Kaikohe,P05/402,Area IVPit,NZ7250,330,60,-26.8,Charcoal,Pteridophyte [probably Leptospermum scoparium)],NZRD,6083787,1685405,173.940347,-35.38561025
Northern,Cattleyards Pa,P05/408,Area IIISample from wall of pit,NZ7330,407,60,-27.54,Charcoal,"Leptospermum sp., unidentified anglosperm",NZRD,6085287,1685701,173.9434483,-35.37206137
Northern,Wairoa Bay,P05/854,"Test Pit 1, Feature 1",Wk 12418,454,43,-22.5,Charcoal,"Leptospermum sp., Brachyglottis sp., Pseudopanax arboreus and Coprosma sp.",Best 2003,6106712,1698339,174.079987,-35.17773972
Northern,Wairoa Bay,P05/854,"Test Pit 2, Feature 3",Wk 12419,213,51,-26.1,Charcoal,"Hebe sp., Coprosma, Pseudopanax ",Best 2003,6106712,1698339,174.079987,-35.17773972
Central,Tataraimaka,P19/221,Concentrated lense of charcoal with occasional oven stones. ,NZ6552,480,33,-24.92,Charcoal,"Pseudopanax sp., Shefflera digitata, Hedycanya arborea minor; Paratropis sp. Macropiper exedsum",NZRD,5666536,1676325,173.8832587,-39.14702742
Central,Tataraimaka,P19/221,Exposue on side of track cut inot ridge,NZ6555,203,32,-24.84,Charcoal,Pseudopanax sp. Corynocarpus laevigatus; Paratrophis sp.,NZRD,5664937,1678025,173.9031136,-39.16128366
Central,Oakura,P19/26,Charcoal from infilling of defensice ditches,NZ6563,263,28,-26.22,Charcoal,Hebe sp.,NZRD,5669143,1686321,173.9985885,-39.12260495
Northern,Paihia Treatment Ponds,P05/958,Structure 107,Wk20300,242,35,-25.4,Charcoal,Leptospermum sp.,Mallows 2007a,6094934,1696982,174.0664752,-35.28405662
